step,response_length
20,500
40,670
60,730
80,760
100,780
120,800
140,830
160,850
180,840
200,860
220,880
240,870
260,860
280,880
300,980
320,1080
340,1160
360,1100
380,980
400,960
420,1050
440,1120
460,1100
480,1080
