Step,algorithm,seed,actor/entropy_loss
2,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,43,0.6104109883308411
2,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,44,0.5779070258140564
2,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,42,0.611190140247345
2,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,43,0.5955811142921448
2,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,44,0.5845580101013184
2,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,42,0.6142716407775879
2,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,43,0.6104109883308411
2,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,44,0.5779070258140564
2,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,42,0.6142716407775879
2,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,43,0.6104109883308411
2,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,44,0.5779070258140564
2,qwen2.5-1.5b-2gpu-GRPO,42,0.6012805700302124
2,qwen2.5-1.5b-2gpu-GRPO,43,0.5933257341384888
2,qwen2.5-1.5b-2gpu-GRPO,44,0.5828143954277039
2,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,42,0.6142716407775879
2,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,43,0.6104109883308411
2,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-1,44,0.5779070258140564
2,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-1,42,0.6142716407775879
2,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-1,43,0.6104109883308411
2,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-1,44,0.5779070258140564
2,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-8,42,0.611190140247345
2,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-8,43,0.5955811142921448
2,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-8,44,0.5845580101013184
2,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-1,42,0.6142716407775879
2,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-1,43,0.6104109883308411
2,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v3-cvarupper25-iqn-1,44,0.5779070258140564
2,qwen2.5-1.5b-2gpu-PPO-v3-iqn-8,42,0.611190140247345
2,qwen2.5-1.5b-2gpu-PPO-v3-iqn-8,43,0.5955811142921448
2,qwen2.5-1.5b-2gpu-PPO-v3-iqn-8,42+1,0.5797269344329834
2,qwen2.5-1.5b-2gpu-PPO-v2-iqn-8,42,0.611190140247345
2,qwen2.5-1.5b-2gpu-PPO-v2-iqn-8,43,0.5955811142921448
2,qwen2.5-1.5b-2gpu-PPO-v2-iqn-8,42+1,0.5810036659240723
2,qwen2.5-1.5b-2gpu-PPO,42,0.6142716407775879
2,qwen2.5-1.5b-2gpu-PPO,43,0.6104109883308411
2,qwen2.5-1.5b-2gpu-PPO,44,0.5779070258140564
2,qwen2.5-1.5b-2gpu-PPO,42+1,0.575079619884491
2,qwen2.5-1.5b-2gpu-PPO-C51,42,0.6142716407775879
2,qwen2.5-1.5b-2gpu-PPO-C51,43,0.6104109883308411
2,qwen2.5-1.5b-2gpu-PPO-C51,44,0.5779070258140564
2,qwen2.5-1.5b-2gpu-PPO-QRDQN,42,0.6142716407775879
2,qwen2.5-1.5b-2gpu-PPO-QRDQN,43,0.6104109883308411
2,qwen2.5-1.5b-2gpu-PPO-QRDQN,44,0.5779070258140564
2,qwen2.5-1.5b-2gpu-PPO-iqn,42,0.6142716407775879
2,qwen2.5-1.5b-2gpu-PPO-iqn,43,0.6104109883308411
2,qwen2.5-1.5b-2gpu-PPO-iqn,44,0.5779070258140564
2,qwen2.5-1.5b-2gpu-PPO-distributionalv2-iqn-8-1epoch,42+1,0.5797403454780579
2,qwen2.5-1.5b-2gpu-PPO-2,42+1,0.5889618992805481
2,qwen2.5-1.5b-2gpu-PPO-8,42+1,0.5810036659240723
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-8,42,0.6144747734069824
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-8,43,0.5836122035980225
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarlower25-iqn-8,44,0.5885017514228821
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,42,0.5920409560203552
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,43,0.5674836039543152
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarlower25-iqn,44,0.5876787900924683
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,42,0.613043487071991
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,43,0.5896458029747009
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v3-cvarupper25-iqn-8,44,0.5976948738098145
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,42,0.5964959859848022
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,43,0.5967817306518555
3,qwen2.5-1.5b-2gpu-PPO-risk-baseline1-v1-cvarupper25-iqn,44,0.5960767269134521
3,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,42,0.6125536561012268
3,qwen2.5-1.5b-2gpu-PPO-reweight-baseline1-v1-cvarupper25-iqn-1,43,0.5930700302124023
