表1，实验结果总表,,,,,,,,,,,,,,,,,,,,,,,,
,,AIME24,,AIME25,,AMC23,,MATH500,,Minerva,,Olympiad,,M2M(1k),,M2M(4k),,Countdown,,M2M(1k16n),,AVG,AVGP,
,,avg.,p@k,avg.,p@k,avg.,p@k,avg.,p@k,avg.,p@k,avg.,p@k,avg.,p@k,avg.,p@k,avg.,p@k,avg.,p@k,,,
,,avg.32,p@128,avg.32,p@128,avg.32,p@128,avg.32,p@128,avg.32,p@128,avg.32,p@128,avg.128,p@128,avg.128,p@128,avg.,p@k,avg.,p@k,,,
Seeking,IQN(v1),0.065 ,0.522 ,0.046 ,0.378 ,0.387 ,0.855 ,0.674 ,0.949 ,0.206 ,0.646 ,0.269 ,0.667 ,,,,,,,,,0.274 ,0.670 ,
,IQN(SR),0.063 ,0.433 ,0.043 ,0.344 ,0.397 ,0.859 ,0.684 ,0.943 ,0.215 ,0.627 ,0.274 ,0.638 ,,,,,,,,,0.279 ,0.641 ,
,IQN(SR)n=8,0.097 ,0.522 ,0.069 ,0.411 ,0.447 ,0.884 ,0.719 ,0.941 ,0.231 ,0.577 ,0.308 ,0.635 ,,,,,,,,,0.312 ,0.662 ,
Reweight,IQN(v1),,,,,,,,,,,,,,,,,,,,,,,
,IQN(SR),0.064 ,0.444 ,0.047 ,0.322 ,0.419 ,0.871 ,0.688 ,0.945 ,0.217 ,0.657 ,0.277 ,0.654 ,,,,,,,,,0.285 ,0.649 ,
,IQN(SR)n=8,0.095 ,0.544 ,0.074 ,0.367 ,0.448 ,0.892 ,0.726 ,0.943 ,0.228 ,0.577 ,0.315 ,0.629 ,,,,,,,,,0.314 ,0.659 ,
,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
表4 消融实验,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
,"C51 [-10, 10]",,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
,"C51[0,1]",0.044 ,0.400 ,0.029 ,0.311 ,0.309 ,0.835 ,0.615 ,0.949 ,0.170 ,0.650 ,0.225 ,0.657 ,,,,,,,,,0.232 ,0.634 ,
,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
表5:不同rollout数量下的对比,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
rolloutn=1,PPO,0.051 ,0.433 ,0.024 ,0.267 ,0.319 ,0.863 ,0.626 ,0.947 ,0.181 ,0.650 ,0.230 ,0.660 ,,,,,,,,,0.238 ,0.637 ,
,IQN(v1),0.052 ,0.411 ,0.027 ,0.267 ,0.310 ,0.851 ,0.629 ,0.950 ,0.178 ,0.645 ,0.234 ,0.664 ,,,,,,,,,,,
,IQN(0),0.075 ,0.467 ,0.055 ,0.378 ,0.462 ,0.884 ,0.700 ,0.951 ,0.219 ,0.615 ,0.286 ,0.655 ,,,,,,,,,0.300 ,0.658 ,
,IQN(SR),0.081 ,0.533 ,0.060 ,0.356 ,0.437 ,0.904 ,0.710 ,0.945 ,0.225 ,0.624 ,0.292 ,0.651 ,,,,,,,,,0.301 ,0.669 ,
,C51(v1),0.044 ,0.400 ,0.029 ,0.311 ,0.309 ,0.835 ,0.615 ,0.949 ,0.170 ,0.650 ,0.225 ,0.657 ,,,,,,,,,0.232 ,0.634 ,
,QRDQN(v1),0.051 ,0.444 ,0.024 ,0.311 ,0.327 ,0.855 ,0.625 ,0.951 ,0.182 ,0.674 ,0.233 ,0.661 ,,,,,,,,,0.240 ,0.650 ,
averse,IQN(v1),0.075 ,0.467 ,0.050 ,0.311 ,0.428 ,0.900 ,0.693 ,0.941 ,0.224 ,0.632 ,0.284 ,0.653 ,,,,,,,,,0.292 ,0.651 ,
seeking,IQN(v1),0.065 ,0.522 ,0.046 ,0.378 ,0.387 ,0.855 ,0.674 ,0.949 ,0.206 ,0.646 ,0.269 ,0.667 ,,,,,,,,,0.274 ,0.670 ,
reweight,IQN(v1),,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
rolloutn=2,PPO,0.063 ,0.411 ,0.039 ,0.300 ,0.355 ,0.851 ,0.655 ,0.947 ,0.196 ,0.658 ,0.255 ,0.663 ,,,,,,,,,,,
,IQN(0),0.063 ,0.500 ,0.046 ,0.389 ,0.385 ,0.876 ,0.665 ,0.945 ,0.202 ,0.659 ,0.258 ,0.660 ,,,,,,,,,0.270 ,0.671 ,
,IQN(SR),0.053 ,0.433 ,0.034 ,0.289 ,0.363 ,0.867 ,0.654 ,0.947 ,0.198 ,0.663 ,0.253 ,0.665 ,,,,,,,,,0.259 ,0.644 ,
,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
rolloutn=8,PPO,0.080 ,0.522 ,0.068 ,0.367 ,0.438 ,0.884 ,0.710 ,0.947 ,0.224 ,0.609 ,0.298 ,0.652 ,,,,,,,,,0.303 ,0.664 ,
,GRPO,0.066 ,0.478 ,0.047 ,0.389 ,0.402 ,0.884 ,0.687 ,0.951 ,0.219 ,0.664 ,0.279 ,0.667 ,,,,,,,,,0.283 ,0.672 ,
,IQN(SR),0.081 ,0.533 ,0.060 ,0.356 ,0.437 ,0.904 ,0.710 ,0.945 ,0.225 ,0.624 ,0.292 ,0.651 ,,,,,,,,,0.301 ,0.669 ,
,IQN(0),0.075 ,0.467 ,0.055 ,0.378 ,0.462 ,0.884 ,0.700 ,0.951 ,0.219 ,0.615 ,0.286 ,0.655 ,,,,,,,,,0.300 ,0.658 ,
,C51(SR),0.078 ,0.456 ,0.051 ,0.344 ,0.425 ,0.888 ,0.702 ,0.945 ,0.226 ,0.637 ,0.290 ,0.655 ,,,,,,,,,0.295 ,0.654 ,
,C51(0),0.071 ,0.467 ,0.057 ,0.378 ,0.429 ,0.888 ,0.710 ,0.940 ,0.220 ,0.625 ,0.293 ,0.649 ,,,,,,,,,,,
,QR(SR),0.081 ,0.500 ,0.060 ,0.411 ,0.441 ,0.892 ,0.708 ,0.949 ,0.216 ,0.613 ,0.295 ,0.649 ,,,,,,,,,0.300 ,0.669 ,
,QR(0),0.076 ,0.478 ,0.056 ,0.356 ,0.424 ,0.876 ,0.707 ,0.945 ,0.221 ,0.602 ,0.295 ,0.649 ,,,,,,,,,0.297 ,0.651 ,
averse,IQN(SR),,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
seeking,IQN(SR),0.097 ,0.522 ,0.069 ,0.411 ,0.447 ,0.884 ,0.719 ,0.941 ,0.231 ,0.577 ,0.308 ,0.635 ,,,,,,,,,0.312 ,0.662 ,
reweight,IQN(SR),0.095 ,0.544 ,0.074 ,0.367 ,0.448 ,0.892 ,0.726 ,0.943 ,0.228 ,0.577 ,0.315 ,0.629 ,,,,,,,,,0.314 ,0.659 ,
,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
