Unnamed: 0,Step,algorithm,seed,avg@32,pass@1,pass@2,pass@4,pass@8,pass@16,pass@32,pass@64,pass@128
14,0,qwen2.5-1.5b-2gpu-GRPO,42,0.032627755511022,0.0317196893787575,0.0563905862906916,0.0955133145931908,0.1514826927484872,0.220608444764321,0.2917704388404923,0.3570656445509432,0.4188376753507014
15,0,qwen2.5-1.5b-2gpu-GRPO,43,0.032627755511022,0.0317196893787575,0.0563905862906916,0.0955133145931908,0.1514826927484872,0.220608444764321,0.2917704388404923,0.3570656445509432,0.4188376753507014
16,0,qwen2.5-1.5b-2gpu-GRPO,44,0.032627755511022,0.0317196893787575,0.0563905862906916,0.0955133145931908,0.1514826927484872,0.220608444764321,0.2917704388404923,0.3570656445509432,0.4188376753507014
36,0,qwen2.5-1.5b-2gpu-PPO,42,0.032001503006012,0.0307646543086172,0.0543426912880879,0.0913956676006681,0.1443640885579833,0.2103584832883989,0.2802626334562205,0.3488088701285194,0.4208416833667334
46,0,qwen2.5-1.5b-2gpu-PPO,42+1,0.032001503006012,0.0307646543086172,0.0543426912880879,0.0913956676006681,0.1443640885579833,0.2103584832883989,0.2802626334562205,0.3488088701285194,0.4208416833667334
34,0,qwen2.5-1.5b-2gpu-PPO,43,0.032001503006012,0.0307646543086172,0.0543426912880879,0.0913956676006681,0.1443640885579833,0.2103584832883989,0.2802626334562205,0.3488088701285194,0.4208416833667334
35,0,qwen2.5-1.5b-2gpu-PPO,44,0.032001503006012,0.0307646543086172,0.0543426912880879,0.0913956676006681,0.1443640885579833,0.2103584832883989,0.2802626334562205,0.3488088701285194,0.4208416833667334
47,0,qwen2.5-1.5b-2gpu-PPO-2,42+1,0.032001503006012,0.0307646543086172,0.0543426912880879,0.0913956676006681,0.1443640885579833,0.2103584832883989,0.2802626334562205,0.3488088701285194,0.4208416833667334
49,0,qwen2.5-1.5b-2gpu-PPO-8,42+1,0.032001503006012,0.0307646543086172,0.0543426912880879,0.0913956676006681,0.1443640885579833,0.2103584832883989,0.2802626334562205,0.3488088701285194,0.4208416833667334
38,0,qwen2.5-1.5b-2gpu-PPO-C51,42,0.032001503006012,0.0307646543086172,0.0543426912880879,0.0913956676006681,0.1443640885579833,0.2103584832883989,0.2802626334562205,0.3488088701285194,0.4208416833667334
39,0,qwen2.5-1.5b-2gpu-PPO-C51,43,0.032001503006012,0.0307646543086172,0.0543426912880879,0.0913956676006681,0.1443640885579833,0.2103584832883989,0.2802626334562205,0.3488088701285194,0.4208416833667334
37,0,qwen2.5-1.5b-2gpu-PPO-C51,44,0.032001503006012,0.0307646543086172,0.0543426912880879,0.0913956676006681,0.1443640885579833,0.2103584832883989,0.2802626334562205,0.3488088701285194,0.4208416833667334
40,0,qwen2.5-1.5b-2gpu-PPO-QRDQN,42,0.032001503006012,0.0307646543086172,0.0543426912880879,0.0913956676006681,0.1443640885579833,0.2103584832883989,0.2802626334562205,0.3488088701285194,0.4208416833667334
41,0,qwen2.5-1.5b-2gpu-PPO-QRDQN,43,0.032001503006012,0.0307646543086172,0.0543426912880879,0.0913956676006681,0.1443640885579833,0.2103584832883989,0.2802626334562205,0.3488088701285194,0.4208416833667334
